"Title","image","Body","Parent"
"Avatar","http://flickwiz.xululabs.us/sites/default/files/avatar_poster_b_by_incerazo.jpg","A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.","Movies"
"Avatar","http://flickwiz.xululabs.us/sites/default/files/avatar-poster-wallpaper-3.jpg","A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.","Movies"
"Avatar","http://flickwiz.xululabs.us/sites/default/files/6660L.jpg","A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.","Movies"
"Public Enemies ","http://flickwiz.xululabs.us/sites/default/files/MV5BMjA3NDI0NzM2MV5BMl5BanBnXkFtZTcwODk5MTk2Mg@@._V1_SX640_SY720_.jpg","The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.","Movies"
"Public Enemies ","http://flickwiz.xululabs.us/sites/default/files/public_enemies_poster_2_by_ivycastle.jpg","The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.","Movies"
"Public Enemies ","http://flickwiz.xululabs.us/sites/default/files/public-enemies-movie-poster-2009-1020475963.jpg","The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.","Movies"
"Hulk","http://flickwiz.xululabs.us/sites/default/files/hulk-poster-germania11.jpg","Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.","Movies"
"Hulk","http://flickwiz.xululabs.us/sites/default/files/Incredible_Hulk.jpg","Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.","Movies"
"Hulk","http://flickwiz.xululabs.us/sites/default/files/incredible-hulk-poster-big.jpg","Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.","Movies"
"American Gangster","http://flickwiz.xululabs.us/sites/default/files/american-gangster.jpg","In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.","Movies"
"American Gangster","http://flickwiz.xululabs.us/sites/default/files/american_gangster_600.jpg","In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.","Movies"
"American Gangster","http://flickwiz.xululabs.us/sites/default/files/amer-gangster-poster2.jpg","In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.","Movies"
