deatail,10,10,,,,,,,
237,55,28,101,176,14,87,56,117,174
109,58,156,54,169,45,84,144,235,186
96,184,57,112,136,205,81,31,226,245
116,148,157,190,136,68,87,184,146,254
90,184,158,178,131,221,21,199,171,215
221,48,188,100,25,76,83,24,99,236
96,32,121,64,100,73,65,16,113,32
104,184,190,112,41,189,81,87,227,157
124,178,156,116,160,44,81,144,32,29
85,132,172,183,140,47,71,188,22,247
deatail,10,9,,,,,,,
137,187,249,209,180,220,105,151,127,91
18,206,227,152,218,192,62,238,151,132
77,206,81,186,112,138,106,186,118,73
105,178,196,137,125,217,233,89,175,125
220,54,156,53,173,126,148,11,122,191
55,76,79,252,78,131,207,250,6,146
89,116,157,119,40,106,5,159,224,187
96,232,29,123,73,237,23,238,119,54
163,115,104,3,124,153,234,89,79,228
103,233,134,2,157,29,206,236,235,248
deatail,10,10,,,,,,,
190,62,110,54,151,119,86,250,113,238
33,163,40,173,93,143,225,119,108,37
244,123,249,100,108,11,71,248,67,190
231,38,174,170,172,47,223,223,220,191
71,248,149,147,185,221,57,158,186,219
4,200,21,249,13,201,67,170,206,17
56,203,46,171,188,139,213,237,198,53
52,47,46,8,29,239,130,72,206,168
2,232,172,187,218,207,187,204,158,17
64,50,21,63,9,198,0,120,166,58
deatail,10,9,,,,,,,
160,247,248,76,248,25,95,255,27,47
45,246,161,79,249,95,71,156,83,105
152,223,28,251,187,223,86,190,23,63
81,157,155,173,176,174,99,55,52,73
216,184,149,215,27,200,73,171,183,144
208,253,31,237,178,2,31,247,160,8
165,107,233,91,188,75,71,141,95,236
208,142,31,127,160,110,69,183,116,26
220,188,223,116,170,106,85,190,178,191
89,141,139,164,139,126,79,167,32,226
deatail,10,10,,,,,,,
0,97,98,101,108,115,0,0,30,0
237,55,28,101,176,14,87,56,117,174
109,58,156,54,169,45,84,144,235,186
96,184,57,112,136,205,81,31,226,245
116,148,157,190,136,68,87,184,146,254
90,184,158,178,131,221,21,199,171,215
221,48,188,100,25,76,83,24,99,236
96,32,121,64,100,73,65,16,113,32
104,184,190,112,41,189,81,87,227,157
124,178,156,116,160,44,81,144,32,29
